period,value_reported,source_url,source_quote,derivation,context,source_type,source_unit,source_value_reported
2014Q3,307.0,https://s203.q4cdn.com/636242992/files/doc_financials/2014/q3/Sales_of_Key_Products_Franchises_3Q2014.pdf,"PROCRIT/EPREX WW third quarter 2014 and 2013 then nine months 2014 and 2013, USD millions, percentage-change columns omitted | 307 | 344 | 936 | 1,057",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,307.0
2014Q4,302.0,https://s203.q4cdn.com/636242992/files/doc_financials/2014/q4/Sales_of_Key_Products_Franchises_4Q2014.pdf,"PROCRIT/EPREX WW fourth quarter 2014 and 2013 then twelve months 2014 and 2013, USD millions, percentage-change columns omitted | 302 | 307 | 1,238 | 1,364",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,302.0
2015Q1,269.0,https://s203.q4cdn.com/636242992/files/doc_financials/2015/q1/Sales_of_Key_Products_Franchises_1Q2015.pdf,"PROCRIT / EPREX WW first quarter 2015 and 2014, USD millions, percentage-change columns omitted | 269 | 310",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,269.0
2015Q2,276.0,https://s203.q4cdn.com/636242992/files/doc_financials/2015/q2/Sales_of_Key_Products_Franchises_2Q2015.pdf,"PROCRIT / EPREX WW second quarter 2015 and 2014 then six months 2015 and 2014, USD millions, percentage-change columns omitted | 276 | 319 | 545 | 629",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,276.0
2015Q3,263.0,https://s203.q4cdn.com/636242992/files/doc_financials/2015/q3/Sales_of_Key_Products_Franchises_3Q2015.pdf,"PROCRIT/EPREX WW third quarter 2015 and 2014 then nine months 2015 and 2014, USD millions, percentage-change columns omitted | 263 | 307 | 808 | 936",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,263.0
2015Q4,260.0,https://s203.q4cdn.com/636242992/files/doc_financials/2015/q4/Sales_of_Key_Products_Franchises_4Q2015.pdf,"PROCRIT / EPREX WW fourth quarter 2015 and 2014 then twelve months 2015 and 2014, USD millions, percentage-change columns omitted | 260 | 302 | 1,068 | 1,238",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,260.0
2016Q1,274.0,https://s203.q4cdn.com/636242992/files/doc_financials/2016/q1/Sales_of_Key_Products_Franchises_1Q2016.pdf,"PROCRIT / EPREX WW first quarter 2016 and 2015, USD millions, percentage-change columns omitted | 274 | 269",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,274.0
2016Q2,322.0,https://s203.q4cdn.com/636242992/files/doc_financials/2016/q2/Sales_of_Key_Products_Franchises_2Q2016.pdf,"PROCRIT/EPREX WW second quarter 2016 and 2015 then six months 2016 and 2015, USD millions, percentage-change columns omitted | 322 | 276 | 596 | 545",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,322.0
2016Q3,250.0,https://s203.q4cdn.com/636242992/files/doc_financials/2016/q3/Sales_of_Key_Products_Franchises_3Q2016.pdf,"PROCRIT / EPREX WW third quarter 2016 and 2015 then nine months 2016 and 2015, USD millions, percentage-change columns omitted | 250 | 263 | 846 | 808",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,250.0
2016Q4,259.0,https://s203.q4cdn.com/636242992/files/doc_financials/2016/q4/Sales_of_Key_Products_Franchises_4Q2016.pdf,"PROCRIT / EPREX WW fourth quarter 2016 and 2015 then twelve months 2016 and 2015, USD millions, percentage-change columns omitted | 259 | 260 | 1,105 | 1,068",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,259.0
2017Q1,247.0,https://s203.q4cdn.com/636242992/files/doc_financials/2017/q1/Sales_of_Key_Products_Franchises_1Q2017.pdf,"PROCRIT / EPREX WW first quarter 2017 and 2016, USD millions, percentage-change columns omitted | 247 | 274",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,247.0
2017Q2,255.0,https://s203.q4cdn.com/636242992/files/doc_financials/2017/q2/Sales_of_Key_Products_Franchises_2Q2017.pdf,"PROCRIT/EPREX WW second quarter 2017 and 2016 then six months 2017 and 2016, USD millions, percentage-change columns omitted | 255 | 322 | 502 | 596",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,255.0
