period,value_reported,source_url,source_quote,derivation,context
2018Q1,696,https://s203.q4cdn.com/636242992/files/doc_financials/2018/q1/Sales_of_Key_Products_Franchises_1Q2018.pdf,"INVEGA SUSTENNA / XEPLION / INVEGA TRINZA / TREVICTA WW first quarter 2018 and 2017, USD millions, percentage-change columns omitted | 696 | 604",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises exhibit, in three rows - US, Intl and WW. The WW row is the one recorded; its columns are the quarter, the same quarter a year earlier, and where the exhibit carries a year-to-date block, that period and its prior-year comparative."
2018Q2,720,https://s203.q4cdn.com/636242992/files/doc_financials/2018/q2/Sales_of_Key_Products_Franchises_2Q2018.pdf,"INVEGA SUSTENNA / XEPLION / INVEGA TRINZA / TREVICTA WW second quarter 2018 and 2017 then six months 2018 and 2017, USD millions, percentage-change columns omitted | 720 | 629 | 1,416 | 1,233",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises exhibit, in three rows - US, Intl and WW. The WW row is the one recorded; its columns are the quarter, the same quarter a year earlier, and where the exhibit carries a year-to-date block, that period and its prior-year comparative."
2018Q3,749,https://s203.q4cdn.com/636242992/files/doc_financials/2018/q3/3Q2018_Sales_of_Key_Products_Franchises_3Q2018.pdf,"INVEGA SUSTENNA / XEPLION / INVEGA TRINZA / TREVICTA WW third quarter 2018 and 2017 then nine months 2018 and 2017, USD millions, percentage-change columns omitted | 749 | 643 | 2,165 | 1,876",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises exhibit, in three rows - US, Intl and WW. The WW row is the one recorded; its columns are the quarter, the same quarter a year earlier, and where the exhibit carries a year-to-date block, that period and its prior-year comparative."
2018Q4,763,https://s203.q4cdn.com/636242992/files/doc_financials/2018/q4/Sales-of-Key-Products-Franchises-4Q2018.pdf,"INVEGA SUSTENNA / XEPLION / INVEGA TRINZA / TREVICTA WW fourth quarter 2018 and 2017 then twelve months 2018 and 2017, USD millions, percentage-change columns omitted | 763 | 693 | 2,928 | 2,569",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises exhibit, in three rows - US, Intl and WW. The WW row is the one recorded; its columns are the quarter, the same quarter a year earlier, and where the exhibit carries a year-to-date block, that period and its prior-year comparative."
2019Q1,790,https://s203.q4cdn.com/636242992/files/doc_financials/2019/q1/1Q19-Press-Release-with-attachments.pdf,"INVEGA SUSTENNA / XEPLION / INVEGA TRINZA / TREVICTA WW first quarter 2019 and 2018, USD millions, percentage-change columns omitted | 790 | 696",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises exhibit, in three rows - US, Intl and WW. The WW row is the one recorded; its columns are the quarter, the same quarter a year earlier, and where the exhibit carries a year-to-date block, that period and its prior-year comparative."
2019Q2,818,https://s203.q4cdn.com/636242992/files/doc_financials/2019/q2/Sales-of-Key-Products-Franchises-2Q2019.pdf,"INVEGA SUSTENNA / XEPLION / INVEGA TRINZA / TREVICTA WW second quarter 2019 and 2018 then six months 2019 and 2018, USD millions, percentage-change columns omitted | 818 | 720 | 1,608 | 1,416",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises exhibit, in three rows - US, Intl and WW. The WW row is the one recorded; its columns are the quarter, the same quarter a year earlier, and where the exhibit carries a year-to-date block, that period and its prior-year comparative."
2019Q3,851,https://s203.q4cdn.com/636242992/files/doc_financials/2019/q3/Sales-of-Key-Products-Franchises-3Q2019.pdf,"INVEGA SUSTENNA / XEPLION / INVEGA TRINZA / TREVICTA WW third quarter 2019 and 2018 then nine months 2019 and 2018, USD millions, percentage-change columns omitted | 851 | 749 | 2,459 | 2,165",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises exhibit, in three rows - US, Intl and WW. The WW row is the one recorded; its columns are the quarter, the same quarter a year earlier, and where the exhibit carries a year-to-date block, that period and its prior-year comparative."
2019Q4,871,https://s203.q4cdn.com/636242992/files/doc_financials/2019/q4/Sales-of-Key-Products-Franchises-4Q2019.pdf,"INVEGA SUSTENNA / XEPLION / INVEGA TRINZA / TREVICTA WW fourth quarter 2019 and 2018 then twelve months 2019 and 2018, USD millions, percentage-change columns omitted | 871 | 763 | 3,330 | 2,928",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises exhibit, in three rows - US, Intl and WW. The WW row is the one recorded; its columns are the quarter, the same quarter a year earlier, and where the exhibit carries a year-to-date block, that period and its prior-year comparative."
2020Q1,883,https://s203.q4cdn.com/636242992/files/doc_financials/2020/q1/Sales-of-Key-Products-Franchises-1Q2020.pdf,"INVEGA SUSTENNA / XEPLION / INVEGA TRINZA / TREVICTA WW first quarter 2020 and 2019, USD millions, percentage-change columns omitted | 883 | 790",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises exhibit, in three rows - US, Intl and WW. The WW row is the one recorded; its columns are the quarter, the same quarter a year earlier, and where the exhibit carries a year-to-date block, that period and its prior-year comparative."
2020Q2,879,https://s203.q4cdn.com/636242992/files/doc_financials/2020/q2/Sales-of-Key-Products-Franchises-2Q20.pdf,"INVEGA SUSTENNA / XEPLION / INVEGA TRINZA / TREVICTA WW second quarter 2020 and 2019 then six months 2020 and 2019, USD millions, percentage-change columns omitted | 879 | 818 | 1,762 | 1,608",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises exhibit, in three rows - US, Intl and WW. The WW row is the one recorded; its columns are the quarter, the same quarter a year earlier, and where the exhibit carries a year-to-date block, that period and its prior-year comparative."
